Name,Latitude,Longitude,FiveStarRatings,TotalRatings
Joe's Kansas City Bar-B-Que,39.0444482,-94.6229292,2769,3737
Q39 Midtown,39.0574221,-94.6003064,2985,4194
Slap's BBQ,39.1024332,-94.6266053,559,804
Q39 South - Overland Park,38.9287899,-94.6879611,793,1131
Jack Stack Barbecue - Overland Park,38.9558667,-94.6706609,613,1039
Pigwich,39.1085811,-94.5845541,255,411
Hayward's Pit Bar-B-Que,38.9925014,-94.7140587,123,192
Char Bar,39.0539222,-94.5948016,628,1202
Jack Stack Barbecue - Freight House,39.087252,-94.5880037,1070,2101
A Little BBQ Joint,39.1016794,-94.4311662,251,417
